,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0, di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok disensor ,1,1,1,0,0,0,0,0,1,1,0,0
1, siapa yang telat memberi tau kamu disensor disensor gue bergaul dengan cigax jifla calis sama siapa itu licew juga ,0,1,0,0,0,0,0,0,0,0,0,0
2,41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3, aku itu aku dan ku tau matamu disensor tapi dilihat dari mana itu aku ,0,0,0,0,0,0,0,0,0,0,0,0
4, kaum disensor disensor sudah kelihatan dongoknya dari awal tambah disensor lagi haha ,1,1,0,1,1,0,0,0,0,0,1,0
5, ya disensor disensor dan kawan kawan xf0 x9f x98 x84 xf0 x9f x98 x84 xf0 x9f x98 x84 ,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,gue baru saja selesai re watch aldnoah zero paling disensor memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
8,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak me uaku taipan 2 depan kembar baby amp romantika bank islam senawang ,0,0,0,0,0,0,0,0,0,0,0,0
9, enak lagi kalau sambil disensor ,0,1,0,0,0,0,0,0,0,0,0,0
10,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama disensor kamu xf0 x9f x98 x8f ,1,1,1,0,0,0,0,0,1,1,0,0
11, disensor kaleng malu tidak bisa jawab pe anyaan kami dari 2 hari lalu nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
12,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi ,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
14, bu guru enakan jadi disensor atau guru sekolah dasar sih kayaknya menikmati jadi disensor ini guru ,1,1,1,0,0,0,0,1,0,1,0,0
